"Story","Title","Result","Date","Stability","Duration (s)"
"Create new post","Trigger create post pop-up","SUCCESS","2022-09-27T19:48:25.7071901+07:00[Asia/Jakarta]","0.0","0.08"
"Create new post","Create post with only words","SUCCESS","2022-09-27T19:48:25.8049304+07:00[Asia/Jakarta]","0.0","0.05"
"Create new post","Create post with image","SUCCESS","2022-09-27T19:48:25.8637706+07:00[Asia/Jakarta]","0.0","0.06"
"Create new post","Create post with video","SUCCESS","2022-09-27T19:48:25.9355791+07:00[Asia/Jakarta]","0.0","0.07"
"Create new post","Create post with document","SUCCESS","2022-09-27T19:48:26.0223453+07:00[Asia/Jakarta]","0.0","0.06"
